article_id,n_events,dominant_type,nmf_topic,nmf_label,nmf_score,louvain_community,louvain_label,hdbscan_cluster,hdbscan_label,x_2d,y_2d
698b35e042a8083a290c11c7,1,Event,17,ministre | première | paris | france,0.0521,0,élections | six | remporter,1,france | provoquer | attaquant,12.5664,14.8658
698b35e042a8083a290c11c5,4,Event,15,epstein | jeffrey | jeffrey epstein | andrew,0.0664,1,élite | témoignent | 2019,1,france | provoquer | attaquant,23.7094,4.4626
698b35e042a8083a290c11cc,6,Event,19,pays | plusieurs | mardi | sexuelles,0.2531,2,information | judiciaire | cours,1,france | provoquer | attaquant,4.4845,-0.6024
698b35ea42a8083a290c11cf,5,Event,2,contre | annoncé | israël | dimanche,0.033,3,élargit | simplifie | israéliens,1,france | provoquer | attaquant,-4.2349,11.8869
698b35e042a8083a290c11c6,4,Event,16,mencho | el mencho | el | oseguera,0.0429,4,ailleurs | personnes | enfant,1,france | provoquer | attaquant,15.1862,-2.7009
698b35e042a8083a290c11c9,4,Event,4,jeux | milan | cortina | milan cortina,0.2647,5,française | officielle | comptera,1,france | provoquer | attaquant,23.8762,-4.1539
698b35e042a8083a290c11c8,5,Event,13,monde | tribune | tribune monde | hui,0.0842,6,direction | 7février | samedi,1,france | provoquer | attaquant,5.9833,-11.4899
698b35e042a8083a290c11cb,4,Event,10,unis | etats | etats unis | états unis,0.1411,7,île | carburant | continue,1,france | provoquer | attaquant,15.6836,0.6096
698b35ed42a8083a290c11d1,8,Event,18,loi | nationale | assemblée | assemblée nationale,0.0102,8,positifs | toutefois | inflation,1,france | provoquer | attaquant,3.2902,-10.6922
698b35ef42a8083a290c11d3,3,Event,17,ministre | première | paris | france,0.0489,9,énergie | français | en2022pour,1,france | provoquer | attaquant,2.7116,0.1508
698b35ec42a8083a290c11d0,6,Event,17,ministre | première | paris | france,0.0383,10,vise | obligations | consommateurs,0,président | pourrait | contre,-6.9646,-1.6296
698b35ef42a8083a290c11d4,8,Event,13,monde | tribune | tribune monde | hui,0.0453,11,directeur | enquête | explique,1,france | provoquer | attaquant,8.8537,-0.9177
698b35f242a8083a290c11d6,6,Event,17,ministre | première | paris | france,0.0582,12,suppression | cependant | changer,1,france | provoquer | attaquant,13.8092,-0.1377
698b35e042a8083a290c11ca,3,Event,10,unis | etats | etats unis | états unis,0.1584,13,finlandais | antennes | bon,1,france | provoquer | attaquant,2.7018,0.1618
698b35f342a8083a290c11d7,3,Event,12,ukraine | russie | russe | guerre,0.0106,14,sol | prédateurs | particulièrement,1,france | provoquer | attaquant,3.1034,-8.7474
698b35e942a8083a290c11ce,3,Event,17,ministre | première | paris | france,0.092,15,tueurs | gages | vtc,1,france | provoquer | attaquant,14.647,-1.7131
698b35f042a8083a290c11d5,5,Event,17,ministre | première | paris | france,0.0402,16,mardi | menant | fermait,1,france | provoquer | attaquant,11.2155,13.1803
698b35e742a8083a290c11cd,2,Event,14,intelligence | artificielle | intelligence artificielle | new,0.1558,17,présentés | assisté | officialisation,1,france | provoquer | attaquant,2.8713,17.0352
698b35f442a8083a290c11d8,3,Event,3,problème sécurité | problème | sécurité non | provoquer problème,0.4668,18,vmware | sécurité | provoquer,1,france | provoquer | attaquant,3.9573,17.9622
698b35f442a8083a290c11d9,3,Event,17,ministre | première | paris | france,0.0109,19,activités | suspendu | partis,1,france | provoquer | attaquant,24.1385,-4.4592
698b35f542a8083a290c11dc,4,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0857,20,soient | proposent | élus,1,france | provoquer | attaquant,23.0523,4.1674
698b35ed42a8083a290c11d2,5,Event,17,ministre | première | paris | france,0.0723,21,germain | agissements | saint,1,france | provoquer | attaquant,2.6556,16.2971
698b35f642a8083a290c11dd,3,Event,17,ministre | première | paris | france,0.0066,22,harry | ssentamu | potter,1,france | provoquer | attaquant,6.0559,-11.4791
698b35fa42a8083a290c11e1,4,Event,8,trump | donald | donald trump | américain,0.033,23,investissements | venu | américain,1,france | provoquer | attaquant,17.6619,7.6731
698b35f542a8083a290c11db,7,Event,12,ukraine | russie | russe | guerre,0.1155,24,ukrainien | olympique | casque,1,france | provoquer | attaquant,9.2744,-0.7594
698b360042a8083a290c11e3,7,Event,19,pays | plusieurs | mardi | sexuelles,0.0697,25,pays | fonctionne | carburant,1,france | provoquer | attaquant,2.3643,16.3106
