id_1,id_2,cosine,sim_structure,sij,type_1,type_2
698b35ea8f03efde04a8799f,698b43fd8f03efde04a87ce5,1.0,1.0,1.0,Thing/Abstract/Event/Hold,Thing/Abstract/Event/Hold
698b35ea8f03efde04a879a0,698b43fd8f03efde04a87ce6,1.0,1.0,1.0,Thing/Abstract/Event/Communication,Thing/Abstract/Event/Communication
698b35ea8f03efde04a879a1,698b43fd8f03efde04a87ce7,1.0,1.0,1.0,Thing/Abstract/Event/Confess,Thing/Abstract/Event/Confess
698b35ea8f03efde04a879a2,698b43fd8f03efde04a87ce8,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698b35ea8f03efde04a879a3,698b43fd8f03efde04a87ce9,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698b35ea8f03efde04a879a4,698b43fd8f03efde04a87cea,1.0,1.0,1.0,Thing/Abstract/Event/Complete,Thing/Abstract/Event/Complete
698b36048f03efde04a87a26,698b627f8f03efde04a87d81,1.0,1.0,1.0,Thing/Abstract/Event/Math,Thing/Abstract/Event/Math
698b36048f03efde04a87a27,698b627f8f03efde04a87d82,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
698b36048f03efde04a87a28,698b627f8f03efde04a87d83,1.0,1.0,1.0,Thing/Abstract/Event/DiplomaticEvent/Expulsion,Thing/Abstract/Event/DiplomaticEvent/Expulsion
698b36048f03efde04a87a29,698b627f8f03efde04a87d84,1.0,1.0,1.0,Thing/Abstract/Event/Reinforce,Thing/Abstract/Event/Reinforce
698b36048f03efde04a87a2a,698b627f8f03efde04a87d85,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698b36188f03efde04a87a9d,698b36358f03efde04a87b41,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698b36188f03efde04a87a9e,698b36358f03efde04a87b42,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698b36188f03efde04a87a9f,698b36358f03efde04a87b43,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698b36198f03efde04a87aa5,698b362a8f03efde04a87af7,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698b361e8f03efde04a87ab5,698b36318f03efde04a87b15,1.0,1.0,1.0,Thing/Abstract/Event/Occurrence,Thing/Abstract/Event/Occurrence
698b361e8f03efde04a87ab5,699c5df86736db9dc26e6c15,1.0,1.0,1.0,Thing/Abstract/Event/Occurrence,Thing/Abstract/Event/Occurrence
